
run                             result http_status elapsed_ms upload_mb_s max_block_us
---                             ------ ----------- ---------- ----------- ------------
speed-keepalive-len-16k         FAILED 0           12001      0.00        0           
speed-keepalive-chunked-16k     FAILED 0           5033       0.00        0           
speed-keepalive-len-8k          FAILED 0           11778      0.00        0           
speed-budget-len-16k-4ms        FAILED 0           5278       0.00        0           
resp-keepalive-chunked-8k-2ms   FAILED 0           11779      0.00        0           
resp-keepalive-chunked-4k-1ms   FAILED 0           5281       0.00        0           
resp-keepalive-len-4k-1ms       FAILED 0           11778      0.00        0           
resp-keepalive-chunked-2k-0.5ms FAILED 0           5280       0.00        0           



