
run                             result http_status elapsed_ms upload_mb_s max_block_us
---                             ------ ----------- ---------- ----------- ------------
speed-keepalive-len-16k         FAILED 0           5026       0.39        18374       
speed-keepalive-chunked-16k     FAILED 0           1012       0.45        18231       
speed-keepalive-len-8k          FAILED 0           16042      0.46        12202       
speed-budget-len-16k-4ms        FAILED 0           2005       0.44        17153       
resp-keepalive-chunked-8k-2ms   FAILED 0           1007       0.41        11570       
resp-keepalive-chunked-4k-1ms   FAILED 0           2005       0.41        11961       
resp-keepalive-len-4k-1ms       FAILED 0           2007       0.44        18028       
resp-keepalive-chunked-2k-0.5ms FAILED 0           2008       0.42        7952        



