UPLOAD_LOG tag=start run=2 ms=5 state=CONNECTING sent=0 total=8389740 rate_bps=0 error=0 http=0 rssi=-64 heap=202948
UPLOAD_LOG tag=progress run=2 ms=0 state=SENDING sent=238655 total=8389740 rate_bps=302287 error=0 http=0 rssi=-63 heap=194448
UPLOAD_LOG tag=progress run=2 ms=0 state=SENDING sent=607295 total=8389740 rate_bps=349271 error=0 http=0 rssi=-63 heap=196224
UPLOAD_LOG tag=progress run=2 ms=0 state=SENDING sent=853055 total=8389740 rate_bps=91224 error=0 http=0 rssi=-64 heap=191200
UPLOAD_LOG tag=progress run=2 ms=0 state=SENDING sent=1205311 total=8389740 rate_bps=359011 error=0 http=0 rssi=-64 heap=197808
UPLOAD_LOG tag=progress run=2 ms=0 state=SENDING sent=1508415 total=8389740 rate_bps=378092 error=0 http=0 rssi=-64 heap=194388
UPLOAD_LOG tag=progress run=2 ms=0 state=SENDING sent=1844287 total=8389740 rate_bps=395895 error=0 http=0 rssi=-64 heap=194448
UPLOAD_LOG tag=progress run=2 ms=0 state=SENDING sent=2229311 total=8389740 rate_bps=388553 error=0 http=0 rssi=-64 heap=188260
UPLOAD_LOG tag=progress run=2 ms=0 state=SENDING sent=2606143 total=8389740 rate_bps=409600 error=0 http=0 rssi=-64 heap=188120
UPLOAD_LOG tag=progress run=2 ms=0 state=SENDING sent=2925631 total=8389740 rate_bps=368179 error=0 http=0 rssi=-64 heap=197620
UPLOAD_LOG tag=progress run=2 ms=0 state=SENDING sent=3294271 total=8389740 rate_bps=388553 error=0 http=0 rssi=-64 heap=199392
UPLOAD_LOG tag=progress run=2 ms=0 state=SENDING sent=3671103 total=8389740 rate_bps=411181 error=0 http=0 rssi=-64 heap=194448
UPLOAD_LOG tag=progress run=2 ms=0 state=SENDING sent=4031551 total=8389740 rate_bps=384000 error=0 http=0 rssi=-64 heap=193740
UPLOAD_LOG tag=progress run=2 ms=0 state=SENDING sent=4391999 total=8389740 rate_bps=294912 error=0 http=0 rssi=-64 heap=196224
UPLOAD_LOG tag=progress run=2 ms=0 state=SENDING sent=4744255 total=8389740 rate_bps=305671 error=0 http=0 rssi=-64 heap=192936
UPLOAD_LOG tag=progress run=2 ms=0 state=SENDING sent=5137471 total=8389740 rate_bps=381023 error=0 http=0 rssi=-64 heap=196224
UPLOAD_LOG tag=progress run=2 ms=0 state=SENDING sent=5530687 total=8389740 rate_bps=404927 error=0 http=0 rssi=-64 heap=197620
UPLOAD_LOG tag=progress run=2 ms=0 state=SENDING sent=5719103 total=8389740 rate_bps=100515 error=0 http=0 rssi=-64 heap=192120
UPLOAD_LOG tag=progress run=2 ms=0 state=SENDING sent=6054975 total=8389740 rate_bps=393216 error=0 http=0 rssi=-63 heap=196032
UPLOAD_LOG tag=progress run=2 ms=0 state=SENDING sent=6210623 total=8389740 rate_bps=52512 error=0 http=0 rssi=-64 heap=194580
UPLOAD_LOG tag=progress run=2 ms=0 state=SENDING sent=6554687 total=8389740 rate_bps=372363 error=0 http=0 rssi=-63 heap=197808
UPLOAD_LOG tag=progress run=2 ms=0 state=SENDING sent=6931519 total=8389740 rate_bps=388553 error=0 http=0 rssi=-64 heap=197808
UPLOAD_LOG tag=progress run=2 ms=0 state=SENDING sent=7185471 total=8389740 rate_bps=343938 error=0 http=0 rssi=-63 heap=194448
UPLOAD_LOG tag=progress run=2 ms=0 state=SENDING sent=7545919 total=8389740 rate_bps=354771 error=0 http=0 rssi=-63 heap=194640
UPLOAD_LOG tag=progress run=2 ms=0 state=SENDING sent=7914559 total=8389740 rate_bps=358773 error=0 http=0 rssi=-63 heap=196164
UPLOAD_LOG tag=progress run=2 ms=0 state=SENDING sent=8275007 total=8389740 rate_bps=381023 error=0 http=0 rssi=-63 heap=194448
UPLOAD_LOG tag=end run=2 ms=25113 state=DONE sent=8389740 total=8389740 rate_bps=368179 error=0 http=201 rssi=-63 heap=207160
